,Name,City ID #:,Lat,Lon,Temp_F,Humidity,Cloudiness,Windiness
0,Mataura,6201424,-46.19,168.86,64.0,63,56,4.0
1,Lasa,146639,34.92,32.53,62.37,100,20,5.82
2,Hithadhoo,1282256,-0.6,73.08,77.15,100,68,5.64
3,Atuona,4020109,-9.8,-139.03,81.2,100,8,5.97
4,Flin Flon,5954718,54.77,-101.88,-0.41,49,5,6.93
5,Chunskiy,1507636,56.08,99.63,13.93,77,64,2.39
6,Barsana,1276857,27.65,77.38,51.86,93,0,7.65
7,Businga,217637,3.34,20.89,73.64,84,48,2.28
8,Clyde River,5924351,70.47,-68.59,-23.81,74,20,6.93
9,Bartica,3379507,6.41,-58.62,80.6,74,20,11.41
10,Carnarvon,1014034,-30.97,22.13,64.91,31,44,8.1
11,Vaini,1273574,15.34,74.49,57.98,82,0,1.83
12,Innisfail,5983430,52.02,-113.95,-0.89,77,5,6.93
13,Lorengau,2092164,-2.02,147.27,83.99,93,8,4.63
14,Rikitea,4030556,-23.12,-134.97,80.39,100,76,10.22
15,East London,1006984,-33.02,27.91,77.2,97,8,16.93
16,Saint-Philippe,6138908,45.36,-73.48,16.97,57,90,13.87
17,Tarakan,1624725,3.3,117.63,80.84,94,32,5.19
18,Butaritari,2110227,3.07,172.79,83.45,100,88,18.72
19,Te Anau,2181625,-45.41,167.72,59.2,51,88,9.89
20,Kapaa,5848280,22.08,-159.32,75.92,54,90,14.99
21,Albany,5106834,42.65,-73.75,25.43,50,75,29.97
22,Salalah,286621,17.01,54.1,77.0,83,20,2.24
23,Norman Wells,6089245,65.28,-126.83,14.0,61,75,2.24
24,Cape Town,3369157,-33.93,18.42,68.36,94,20,9.17
25,Castro,3896218,-42.48,-73.76,59.0,62,75,12.75
26,Quanzhou,1797353,24.9,118.59,59.0,77,90,6.71
27,Tasiilaq,3424607,65.61,-37.64,28.4,92,88,6.93
28,Barrow,3833859,-38.31,-60.23,52.04,68,8,12.01
29,Puerto Ayora,3652764,-0.74,-90.35,86.0,74,40,8.05
30,Buala,2109528,-8.15,159.59,86.06,77,76,6.42
31,Busselton,2075265,-33.64,115.35,66.2,39,92,13.47
32,Kabinda,215527,-6.14,24.49,72.16,83,24,2.84
33,Punahana,1259244,27.87,77.2,51.86,93,0,7.65
34,Mount Gambier,2156643,-37.83,140.78,66.2,68,75,16.11
35,Tiksi,2015306,71.64,128.87,-4.75,65,32,6.64
36,Ufimskiy,479553,56.71,58.05,11.05,74,56,4.74
37,Codrington,2160063,-28.95,153.24,70.99,73,90,3.74
38,Lompoc,5367788,34.64,-120.46,59.72,67,1,9.17
39,Salinopolis,3389822,-0.61,-47.36,76.25,100,92,9.22
40,Beira,3119841,43.2,-8.36,52.3,76,0,5.82
41,Mar del Plata,3863379,-46.43,-67.52,56.41,55,8,9.22
42,Avarua,4035715,-21.21,-159.78,84.2,62,0,4.7
43,Ngunguru,2186111,-35.62,174.5,70.0,66,88,5.99
44,Bluff,2175403,-23.58,149.07,81.47,45,24,12.46
45,Constitucion,4011743,23.99,-104.67,74.12,12,20,19.46
46,Nikolskoye,546105,59.7,30.79,34.29,74,20,11.18
47,Dongying,1812101,37.43,118.67,34.49,70,76,8.88
48,Hasaki,2112802,35.73,140.83,48.52,66,75,12.75
49,Dingle,1714733,11.0,122.67,74.95,74,0,8.66
50,Ponta do Sol,3453439,-20.63,-46.0,73.96,80,8,3.4
51,Brest,629634,52.09,23.69,30.89,93,32,11.45
52,Husavik,5961417,50.56,-96.99,1.0,69,0,5.01
53,Ushuaia,3833367,-54.81,-68.31,45.59,87,90,12.75
54,Zalantun,2033225,48.0,122.72,13.66,56,0,2.51
55,Mahebourg,934322,-20.41,57.7,79.7,83,75,6.93
56,Chara,262462,39.42,22.43,37.4,59,75,1.39
57,Hobart,2163355,-42.88,147.33,54.88,87,75,11.41
58,Ossora,2122389,59.24,163.07,1.01,88,80,26.78
59,Port Alfred,964432,-33.59,26.89,69.28,94,12,8.43
60,Waingapu,1622318,-9.65,120.26,78.14,97,8,3.96
61,Princeville,5852602,22.22,-159.49,75.69,54,90,14.99
62,Port Macquarie,2152659,-31.43,152.91,72.37,73,92,3.36
63,Faanui,4034551,-16.48,-151.75,83.99,100,8,7.87
64,Punta Arenas,3874787,-53.16,-70.91,50.0,81,90,20.8
65,Riyadh,108410,24.63,46.72,55.4,35,0,2.84
66,Bud,7626370,62.91,6.91,39.16,70,36,8.05
67,Rocha,3440777,-34.48,-54.34,53.8,67,0,5.75
68,Jamestown,2069194,-33.21,138.6,84.13,29,0,4.63
69,Boende,218680,-0.28,20.88,76.21,84,8,3.62
70,Hede,2720382,60.45,15.49,43.3,56,12,10.29
71,Ordzhonikidze,698438,44.96,35.36,36.88,100,12,15.48
72,Vila Velha,6320062,-3.71,-38.6,80.53,78,0,3.36
73,Plouzane,2986626,48.38,-4.62,47.3,70,0,5.82
74,Kahului,5847411,20.89,-156.47,76.6,54,20,13.87
75,Victoria,1733782,5.28,115.24,79.36,88,75,3.36
76,Tilichiki,2120591,60.47,166.1,11.18,85,68,5.64
77,Petropavlovsk-Kamchatskiy,2122104,53.05,158.65,-0.41,64,44,4.47
78,Tahe,2034615,52.34,124.71,4.43,58,0,3.62
79,Bakel,2252606,14.9,-12.46,65.99,22,0,10.67
80,Hilo,5855927,19.71,-155.08,73.2,60,75,8.05
81,Hofn,2630299,64.25,-15.21,44.26,91,92,24.54
82,La Ronge,6050066,55.1,-105.3,5.0,42,5,9.17
83,Tautira,4033557,-17.73,-149.15,89.29,62,75,8.05
84,Sao Joao da Barra,3448903,-21.64,-41.05,84.2,74,0,21.41
85,Rome,6539761,41.89,12.48,40.37,75,0,5.82
86,Willowmore,939676,-33.3,23.49,55.37,89,32,1.61
87,Sabzevar,118063,36.21,57.68,24.41,78,0,1.95
88,Khatanga,2022572,71.98,102.47,-21.45,30,12,4.29
89,Baculin,1729469,7.45,126.58,76.34,87,8,8.66
90,Lebu,344979,8.96,38.73,60.8,55,20,9.17
91,Katsuura,1865309,33.93,134.5,45.23,66,75,13.87
92,Hermanus,3366880,-34.42,19.24,65.55,91,32,4.52
93,Riachao,3390581,-7.36,-46.62,71.12,96,44,2.51
94,Portland,5746545,45.52,-122.67,35.29,51,90,16.11
95,Ribeira Grande,3372707,38.52,-28.7,54.29,100,44,24.32
96,Geraldton,5960603,49.72,-86.95,-4.01,53,75,11.41
97,Bandarbeyla,64814,9.49,50.81,76.88,100,92,10.22
98,Kodiak,4407665,39.95,-94.76,30.56,22,1,10.29
99,Ginir,336454,7.14,40.71,52.63,70,8,2.28
100,Torbay,6167817,47.66,-52.73,27.12,100,90,21.92
101,Coihaique,3894426,-45.58,-72.07,59.0,51,20,9.17
102,Shira,1492149,54.49,89.96,2.72,53,0,5.64
103,Balkanabat,161616,39.51,54.36,33.23,90,92,2.39
104,Monrovia,2274895,6.33,-10.8,77.0,94,20,7.87
105,Dafeng,1813088,33.2,120.46,40.03,84,0,9.55
106,Maceio,3395981,-9.67,-35.74,80.6,78,0,9.17
107,Santa Fe,3836277,-31.62,-60.7,73.33,68,76,1.99
108,Cabo San Lucas,3985710,22.89,-109.91,72.12,60,20,5.53
109,Zhangye,1785036,38.94,100.46,13.34,57,0,7.87
110,Qaanaaq,3831208,77.48,-69.36,-14.16,82,0,8.55
111,Beringovskiy,2126710,63.05,179.32,30.08,94,92,26.78
112,Neiafu,4032420,-18.65,-173.98,82.4,83,75,13.87
113,Copiapo,3893656,-27.37,-70.33,69.8,64,0,10.29
114,Cherskiy,2126199,68.75,161.3,-21.63,62,8,5.41
115,Cidreira,3466165,-30.17,-50.22,70.58,84,88,7.87
116,San Patricio,3437029,-26.98,-56.83,68.69,93,48,5.97
117,Comodoro Rivadavia,3860443,-45.87,-67.48,60.8,48,20,1.12
118,Lagoa,2267254,37.14,-8.45,56.75,67,0,10.29
119,Kindu,212902,-2.95,25.92,79.81,59,80,1.16
120,Sarkand,1519691,45.41,79.91,7.81,48,0,2.62
121,Sauda,3140056,59.65,6.35,39.24,81,48,1.95
122,Fairbanks,5861897,64.84,-147.72,22.82,66,1,2.84
123,Windhoek,3352136,-22.57,17.08,70.45,49,64,1.12
124,Ostrovnoy,556268,68.05,39.51,23.42,91,76,15.82
125,Abalak,2448245,15.46,6.28,59.65,32,12,6.2
126,Nouakchott,2377450,18.08,-15.98,73.4,8,0,9.17
127,Saldanha,2737599,41.42,-6.55,36.29,78,0,2.62
128,Upernavik,3418910,72.79,-56.15,3.71,100,64,12.12
129,Nha Trang,1572151,12.24,109.19,77.0,83,20,5.82
130,Kavieng,2094342,-2.57,150.8,81.61,100,80,8.55
131,Funehiki,2112903,37.43,140.58,39.96,64,20,17.22
132,Progreso,3440963,-34.68,-56.22,65.25,67,40,2.24
133,Tuktoyaktuk,6170031,69.44,-133.03,12.2,92,40,12.75
134,Chuy,3443061,-33.69,-53.46,61.85,79,0,12.57
135,Ballarat,2177091,-37.56,143.86,75.02,46,0,3.18
136,Pangnirtung,6096551,66.15,-65.72,-18.41,68,20,3.62
137,Yellowknife,6185377,62.45,-114.38,1.13,64,75,8.05
138,Saskylakh,2017155,71.97,114.09,-19.11,53,32,2.95
139,Baruun-Urt,2032614,46.68,113.28,5.11,53,0,5.64
140,Cururupu,3401148,-1.82,-44.87,75.76,97,76,3.62
141,Fredericksburg,4760059,38.3,-77.46,51.78,13,1,11.41
142,Cabedelo,3404558,-6.97,-34.84,80.6,88,20,6.93
143,Klaksvik,2618795,62.23,-6.59,50.0,81,88,19.46
144,Nanortalik,3421765,60.14,-45.24,34.81,99,88,11.56
145,Severo-Kurilsk,2121385,50.68,156.12,22.34,100,64,12.01
146,Fort Nelson,5955902,58.81,-122.69,12.2,66,90,2.51
147,Banyumas,1650095,-7.52,109.29,80.26,100,68,3.96
148,Petropavlovka,2017979,50.61,105.32,2.63,52,0,2.62
